link;id_apto;precio;cant_h;coord;hab_disponibles;id_arrendador
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-isabel/cali/7942793;7942793;2920000;1;POINT(3.4278786182403564 -76.55105590820312);1;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7637973;7637973;2500000;3;POINT(3.4532790184020996 -76.57378387451172);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7942732;7942732;1200000;3;POINT(3.345377206802368 -76.5186538696289);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-troncal/cali/7943353;7943353;750000;3;POINT(3.4489998817443848 -76.50800323486328);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-cordoba/cali/7916815;7916815;900000;4;POINT(3.4010000228881836 -76.51000213623047);4;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/poblado-campestre/cali/7943309;7943309;650000;2;POINT(3.4110000133514404 -76.45899963378906);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7942365;7942365;4400000;3;POINT(3.3538882732391357 -76.52593994140625);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/sameco/cali/7943880;7943880;1250000;2;POINT(3.491532564163208 -76.50700378417969);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7960735;7960735;1070000;2;POINT(3.371000051498413 -76.51899719238281);2;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-lido/cali/7942376;7942376;2700000;3;POINT(3.417926549911499 -76.54829406738281);3;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/7640474;7640474;9500000;5;POINT(3.4562160968780518 -76.54948425292969);5;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7942109;7942109;6000000;3;POINT(3.448949098587036 -76.54657745361328);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-norte/cali/7943276;7943276;1600000;3;POINT(3.476722240447998 -76.5213623046875);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/libertadores/cali/7949569;7949569;770000;2;POINT(3.440999984741211 -76.54000091552734);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/oriente-villa-del-sur/cali/7965279;7965279;650000;2;POINT(3.4123570919036865 -76.51626586914062);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-bochalema/cali/7869960;7869960;1000000;2;POINT(3.3540000915527344 -76.50399780273438);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7942362;7942362;4400000;3;POINT(3.349090337753296 -76.5274887084961);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/seminario/cali/7080162;7080162;3600000;4;POINT(3.4516468048095703 -76.531982421875);4;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/san-fernando-viejo/cali/7944536;7944536;550000;1;POINT(3.439112901687622 -76.5455551147461);1;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7942353;7942353;2450000;3;POINT(3.3739101886749268 -76.51917266845703);3;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-monica-residencial/cali/7776540;7776540;8000000;3;POINT(3.4586331844329834 -76.52822875976562);3;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/urbanizacion-la-flora/cali/10033406;10033406;1350000;1;POINT(3.48788510662706 -76.5122960911652);1;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7942360;7942360;4300000;3;POINT(3.35616397857666 -76.53694152832031);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bonilla-aragon/cali/7556867;7556867;425000;2;POINT(3.4516468048095703 -76.531982421875);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-hacienda/cali/7923210;7923210;1500000;2;POINT(3.395709753036499 -76.52922821044922);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/oriente/cali/7868722;7868722;750000;2;POINT(3.418348789215088 -76.49430084228516);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7942355;7942355;4500000;3;POINT(3.343857526779175 -76.53638458251953);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-penon/cali/7931399;7931399;4500000;4;POINT(3.440842390060425 -76.55175018310547);4;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/7681924;7681924;5000000;4;POINT(3.4535248279571533 -76.54464721679688);4;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/urbanizacion-la-flora/cali/7818645;7818645;900000;2;POINT(3.453000068664551 -76.50700378417969);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7944902;7944902;2500000;2;POINT(3.441999912261963 -76.552001953125);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/morichal-de-comfandi/cali/7943988;7943988;600000;2;POINT(3.3994719982147217 -76.50634765625);2;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/7924803;7924803;14000000;5;POINT(3.4535248279571533 -76.54464721679688);5;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7920590;7920590;1100000;2;POINT(3.37325382232666 -76.50585174560547);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-bochalema/cali/7861041;7861041;1100000;2;POINT(3.3557333946228027 -76.51526641845703);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/centenario/cali/7896799;7896799;3200000;3;POINT(3.4517719745635986 -76.53726959228516);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7842141;7842141;1150000;2;POINT(3.4670000076293945 -76.49299621582031);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7799371;7799371;2600000;4;POINT(3.4498722553253174 -76.53463745117188);4;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7857848;7857848;3200000;4;POINT(3.440241813659668 -76.55256652832031);4;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-los-alamos/cali/7945231;7945231;1100000;3;POINT(3.489000082015991 -76.50700378417969);3;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-jardin/cali/7945122;7945122;650000;2;POINT(3.427999973297119 -76.51799774169922);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/chapinero/bogota/7968836;7968836;1550000;1;POINT(3.444655418395996 -76.50216674804688);1;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7946092;7946092;980000;3;POINT(3.365000009536743 -76.51399993896484);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-merced/cali/7884186;7884186;1500000;2;POINT(3.4768519401550293 -76.51638793945312);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7859664;7859664;4600000;4;POINT(3.3634183406829834 -76.54314422607422);4;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-los-alamos/cali/7914598;7914598;900000;3;POINT(3.4858105182647705 -76.50641632080078);3;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-penon/cali/7856694;7856694;10000000;4;POINT(3.450578212738037 -76.54356384277344);4;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/7946151;7946151;2000000;4;POINT(3.4881162643432617 -76.52152252197266);4;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7970031;7970031;2200000;3;POINT(3.361999988555908 -76.52899932861328);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7945112;7945112;1300000;2;POINT(3.371999979019165 -76.51499938964844);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/cencar--yumbo/cali/7922777;7922777;980000;3;POINT(3.556236505508423 -76.50151062011719);3;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-norte/cali/7945605;7945605;1300000;2;POINT(3.4679999351501465 -76.52100372314453);2;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/seminario/cali/7946624;7946624;3000000;3;POINT(3.4498722553253174 -76.53463745117188);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-lido/cali/7945350;7945350;730000;3;POINT(3.4199113845825195 -76.5514144897461);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/7865876;7865876;11000000;4;POINT(3.4535248279571533 -76.54464721679688);4;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/junin/cali/7860635;7860635;750000;2;POINT(3.4365732669830322 -76.52955627441406);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7697089;7697089;2500000;3;POINT(3.3702778816223145 -76.51964569091797);3;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7942707;7942707;1370000;3;POINT(3.3459999561309814 -76.52200317382812);3;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7946427;7946427;1200000;3;POINT(3.364000082015991 -76.49500274658203);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-norte/cali/7945083;7945083;1900000;3;POINT(3.4700098037719727 -76.52058410644531);3;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/pance/cali/7899636;7899636;6500000;4;POINT(3.349562168121338 -76.54782104492188);4;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-rita/cali/7333911;7333911;1500000;1;POINT(3.45344877243042 -76.54890441894531);1;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-cambulos/cali/7913996;7913996;1300000;2;POINT(3.4202277660369873 -76.53689575195312);2;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/3990511;3990511;900000;3;POINT(3.3849549293518066 -76.51985931396484);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7915072;7915072;1000000;2;POINT(3.434000015258789 -76.5260009765625);2;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-anita/cali/7946916;7946916;1150000;2;POINT(3.4030001163482666 -76.53800201416016);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-independencia/cali/7774920;7774920;500000;2;POINT(3.4159998893737793 -76.51799774169922);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/3886881;3886881;6200000;3;POINT(3.461592197418213 -76.5875015258789);3;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7718722;7718722;850000;2;POINT(3.4010000228881836 -76.50900268554688);2;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-independencia/cali/7599765;7599765;560000;2;POINT(3.4159998893737793 -76.52100372314453);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/novalito/valledupar/3595524;3595524;800000;2;POINT(3.4482314586639404 -76.53289031982422);2;1307074298
